Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/resumen,25001,0,20,21.17619411363692,0.9955990003618354,136.6195290001997,746.0,831.9201152025421,0.0,20,23,26,27,33,38,48,57,100,120,140
GET,GET /api/v1/transacciones/{usuario_id},99495,0,20,21.703345209789312,1.1645230001704476,147.58833499990942,10880.374853007688,3310.743244753287,0.0,20,24,26,28,33,39,50,61,100,120,150
,Aggregated,124496,0,20,21.597483940713154,0.9955990003618354,147.58833499990942,8845.213034956947,4142.663359955829,0.0,20,24,26,28,33,39,49,60,100,120,150
